"HOUSEHOLD DATA - ANNUAL AVERAGES 2018
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex. [Numbers in thousands]",,,,,,
Occupations,total_#_ of_workers,total_median_weekly_earnings,male_workers,male_median_weekly_earnings,female_workers,female_median_weekly_earnings
"Installation, maintenance, and repair occupations","4,282",934,"4,140",936,142,823
"First-line supervisors of mechanics, installers, and repairers",270,"1,087",255,"1,111",15,–
"Computer, automated teller, and office machine repairers",157,932,137,940,20,–
Radio and telecommunications equipment installers and repairers,125,"1,131",108,"1,134",18,–
Avionics technicians,11,–,10,–,1,–
"Electric motor, power tool, and related repairers",22,–,20,–,2,–
"Electrical and electronics installers and repairers, transportation equipment",0,–,0,–,0,–
"Electrical and electronics repairers, industrial and utility",12,–,10,–,2,–
"Electronic equipment installers and repairers, motor vehicles",5,–,5,–,0,–
Electronic home entertainment equipment installers and repairers,29,–,29,–,0,–
Security and fire alarm systems installers,47,–,47,–,0,–
Aircraft mechanics and service technicians,155,"1,117",147,"1,141",7,–
Automotive body and related repairers,114,820,114,820,0,–
Automotive glass installers and repairers,22,–,21,–,1,–
Automotive service technicians and mechanics,709,800,698,802,10,–
Bus and truck mechanics and diesel engine specialists,358,942,352,943,5,–
Heavy vehicle and mobile equipment service technicians and mechanics,199,"1,013",196,"1,011",3,–
Small engine mechanics,28,–,28,–,0,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",68,611,65,612,3,–
Control and valve installers and repairers,20,–,18,–,2,–
"Heating, air conditioning, and refrigeration mechanics and installers",384,890,381,891,3,–
Home appliance repairers,28,–,28,–,0,–
Industrial and refractory machinery mechanics,424,981,418,982,6,–
"Maintenance and repair workers, general",456,870,439,874,16,–
"Maintenance workers, machinery",23,–,23,–,0,–
Millwrights,40,–,39,–,1,–
Electrical power-line installers and repairers,129,"1,300",124,"1,292",5,–
Telecommunications line installers and repairers,196,"1,014",187,"1,026",9,–
Precision instrument and equipment repairers,46,–,39,–,6,–
Wind turbine service technicians,2,–,2,–,0,–
"Coin, vending, and amusement machine servicers and repairers",25,–,23,–,2,–
Commercial divers,0,–,0,–,0,–
Locksmiths and safe repairers,18,–,18,–,0,–
Manufactured building and mobile home installers,5,–,5,–,0,–
Riggers,13,–,13,–,0,–
Signal and track switch repairers,14,–,14,–,0,–
"Helpers--installation, maintenance, and repair workers",17,–,17,–,1,–
"Other installation, maintenance, and repair workers",111,827,108,837,3,–
,,,,,,
"Production, transportation, and material moving occupations","15,210",707,"11,932",762,"3,279",561
Production occupations,"7,668",723,"5,627",793,"2,041",575
First-line supervisors of production and operating workers,792,980,642,"1,050",150,745
"Aircraft structure, surfaces, rigging, and systems assemblers",6,–,5,–,1,–
"Electrical, electronics, and electromechanical assemblers",110,605,57,706,53,518
Engine and other machine assemblers,7,–,5,–,2,–
Structural metal fabricators and fitters,27,–,27,–,0,–
Miscellaneous assemblers and fabricators,989,663,641,723,348,583
Bakers,151,549,61,565,89,533
"Butchers and other meat, poultry, and fish processing workers",223,606,158,632,65,557
"Food and tobacco roasting, baking, and drying machine operators and tenders",3,–,3,–,0,–
Food batchmakers,55,557,21,–,34,–
Food cooking machine operators and tenders,8,–,3,–,5,–
"Food processing workers, all other",142,624,90,749,52,539
Computer control programmers and operators,106,882,94,890,12,–
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",17,–,12,–,4,–
"Forging machine setters, operators, and tenders, metal and plastic",5,–,5,–,0,–
"Rolling machine setters, operators, and tenders, metal and plastic",11,–,7,–,3,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",58,745,53,766,5,–
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",6,–,6,–,0,–
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,–,33,–,2,–
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",7,–,7,–,0,–
"Milling and planing machine setters, operators, and tenders, metal and plastic",2,–,2,–,0,–
Machinists,309,863,293,878,16,–
"Metal furnace operators, tenders, pourers, and casters",17,–,16,–,1,–
"Model makers and patternmakers, metal and plastic",5,–,5,–,0,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,–,32,–,3,–
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,–,4,–,0,–
Tool and die makers,47,–,45,–,2,–
"Welding, soldering, and brazing workers",562,840,530,847,32,–
"Heat treating equipment setters, operators, and tenders, metal and plastic",10,–,8,–,2,–
"Layout workers, metal and plastic",10,–,9,–,1,–
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,–,13,–,4,–
"Tool grinders, filers, and sharpeners",1,–,1,–,0,–
"Metal workers and plastic workers, all other",356,698,290,724,66,611
Prepress technicians and workers,14,–,11,–,3,–
Printing press operators,137,754,111,804,26,–
Print binding and finishing workers,12,–,6,–,6,–
Laundry and dry-cleaning workers,108,432,32,–,76,416
"Pressers, textile, garment, and related materials",28,–,11,–,18,–
Sewing machine operators,131,498,37,–,94,497
