CoC Number,CoC Name,CoC Category,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
IL-509,Dekalb City & County CoC,Suburban CoCs,100,75,22,0,97,3,45,39,3,0,42,3,55,36,19,55,0,19,12,7,19,0,7,4,0,4,3,7,4,0,4,3,0,0,0,0,5,4,1,0,5,0,12,11,1,0,12,0,0,0,0,0,0,0,12,11,1,0,12,0,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,4,4,0,4,0
IL-510,Chicago CoC,Major Cities,"5,450","3,111",941,41,"4,093","1,357","3,553","1,629",533,41,"2,203","1,350","1,897","1,482",408,"1,890",7,561,417,141,558,3,971,395,41,436,535,881,307,41,348,533,90,88,88,2,494,194,95,7,296,198,310,181,83,5,269,41,7,3,4,0,7,0,303,178,79,5,262,41,128,62,65,127,1,0,0,0,0,0,128,62,65,127,1,197,104,92,196,1
IL-511,Cook County CoC,Suburban CoCs,873,511,246,24,781,92,559,369,77,24,470,89,314,142,169,311,3,105,44,60,104,1,134,96,15,111,23,131,93,15,108,23,3,3,3,0,50,15,21,11,47,3,62,21,37,1,59,3,1,1,0,0,1,0,61,20,37,1,58,3,21,7,12,19,2,0,0,0,0,0,21,7,12,19,2,24,7,16,23,1
IL-512,Bloomington/Central Illinois CoC,Rural CoCs,387,285,77,0,362,25,248,197,28,0,225,23,139,88,49,137,2,52,33,18,51,1,43,31,0,31,12,34,22,0,22,12,9,9,9,0,10,9,0,0,9,1,69,50,17,0,67,2,23,19,4,0,23,0,46,31,13,0,44,2,9,7,1,8,1,0,0,0,0,0,9,7,1,8,1,13,10,2,12,1
IL-513,Springfield/Sangamon County CoC,Other Urban CoCs,271,176,76,0,252,19,195,142,36,0,178,17,76,34,40,74,2,27,11,15,26,1,32,26,0,26,6,30,24,0,24,6,2,2,2,0,18,6,12,0,18,0,12,9,3,0,12,0,0,0,0,0,0,0,12,9,3,0,12,0,4,2,2,4,0,0,0,0,0,0,4,2,2,4,0,4,2,2,4,0
IL-514,DuPage County CoC,Suburban CoCs,295,168,107,5,280,15,171,118,33,5,156,15,124,50,74,124,0,45,16,29,45,0,31,28,0,28,3,31,28,0,28,3,0,0,0,0,12,7,0,5,12,0,44,11,33,0,44,0,6,5,1,0,6,0,38,6,32,0,38,0,19,1,18,19,0,0,0,0,0,0,19,1,18,19,0,22,1,21,22,0
IL-515,South Central Illinois CoC,Rural CoCs,92,49,21,0,70,22,44,22,3,0,25,19,48,27,18,45,3,17,9,7,16,1,5,1,0,1,4,2,1,0,1,1,3,0,0,3,3,1,0,0,1,2,2,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
IL-516,Decatur/Macon County CoC,Other Urban CoCs,161,87,53,0,140,21,98,69,11,0,80,18,63,18,42,60,3,18,4,13,17,1,16,13,0,13,3,16,13,0,13,3,0,0,0,0,4,4,0,0,4,0,6,2,2,0,4,2,0,0,0,0,0,0,6,2,2,0,4,2,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,1,2,3,0
IL-517,"Aurora, Elgin/Kane County CoC",Suburban CoCs,430,337,68,0,405,25,318,280,13,0,293,25,112,57,55,112,0,32,19,13,32,0,145,130,0,130,15,123,108,0,108,15,22,22,22,0,22,20,2,0,22,0,22,21,1,0,22,0,1,1,0,0,1,0,21,20,1,0,21,0,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,5,3,2,5,0
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Rural CoCs,198,143,39,0,182,16,138,107,15,0,122,16,60,36,24,60,0,22,13,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,0,16,11,4,0,15,1,0,0,0,0,0,0,16,11,4,0,15,1,15,8,7,15,0,3,0,3,3,0,12,8,4,12,0,17,8,9,17,0
IL-519,West Central Illinois CoC,Rural CoCs,67,46,21,0,67,0,23,19,4,0,23,0,44,27,17,44,0,14,8,6,14,0,2,2,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,6,0,1,1,0,0,1,0,5,3,2,0,5,0,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0
IL-520,Southern Illinois CoC,Rural CoCs,282,156,78,0,234,48,144,79,27,0,106,38,138,77,51,128,10,55,28,24,52,3,31,16,0,16,15,25,10,0,10,15,6,6,6,0,11,1,4,0,5,6,22,11,5,0,16,6,1,1,0,0,1,0,21,10,5,0,15,6,10,7,3,10,0,0,0,0,0,0,10,7,3,10,0,12,8,4,12,0
IN-502,Indiana Balance of State CoC,Rural CoCs,"3,576","2,288",822,23,"3,133",443,"2,477","1,590",429,23,"2,042",435,"1,099",698,393,"1,091",8,353,227,123,350,3,244,243,0,243,1,235,234,0,234,1,9,9,9,0,278,134,85,23,242,36,202,123,43,0,166,36,21,17,3,0,20,1,181,106,40,0,146,35,46,32,14,46,0,1,0,1,1,0,45,32,13,45,0,65,42,23,65,0
IN-503,Indianapolis CoC,Major Cities,"1,682","1,082",396,68,"1,546",136,"1,299",786,309,68,"1,163",136,383,296,87,383,0,128,98,30,128,0,205,111,48,159,46,193,99,48,147,46,12,12,12,0,261,80,167,2,249,12,66,43,14,0,57,9,0,0,0,0,0,0,66,43,14,0,57,9,22,17,5,22,0,0,0,0,0,0,22,17,5,22,0,38,28,10,38,0
KS-502,Wichita/Sedgwick County CoC,Major Cities,573,393,118,4,515,58,421,292,67,4,363,58,152,101,51,152,0,45,29,16,45,0,33,17,3,20,13,33,17,3,20,13,0,0,0,0,58,47,7,0,54,4,48,30,13,0,43,5,4,0,4,0,4,0,44,30,9,0,39,5,7,5,2,7,0,0,0,0,0,0,7,5,2,7,0,12,10,2,12,0
KS-503,Topeka/Shawnee County CoC,Other Urban CoCs,408,287,60,0,347,61,282,195,26,0,221,61,126,92,34,126,0,38,28,10,38,0,141,94,0,94,47,130,83,0,83,47,11,11,11,0,58,41,8,0,49,9,16,16,0,0,16,0,0,0,0,0,0,0,16,16,0,0,16,0,6,6,0,6,0,0,0,0,0,0,6,6,0,6,0,8,8,0,8,0
KS-505,"Overland Park, Shawnee/Johnson County CoC",Suburban CoCs,168,92,38,0,130,38,64,21,7,0,28,36,104,71,31,102,2,30,21,8,29,1,19,9,0,9,10,12,2,0,2,10,7,7,7,0,5,1,0,0,1,4,8,2,3,0,5,3,0,0,0,0,0,0,8,2,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS-507,Kansas Balance of State CoC,Rural CoCs,918,499,258,0,757,161,581,343,77,0,420,161,337,156,181,337,0,91,44,47,91,0,82,56,0,56,26,78,52,0,52,26,4,4,4,0,58,52,0,0,52,6,54,37,6,0,43,11,3,3,0,0,3,0,51,34,6,0,40,11,9,4,5,9,0,0,0,0,0,0,9,4,5,9,0,16,5,11,16,0
KY-500,Kentucky Balance of State CoC,Rural CoCs,"2,077","1,175",210,0,"1,385",692,"1,452",745,99,0,844,608,625,430,111,541,84,182,125,34,159,23,142,80,0,80,62,130,71,0,71,59,12,9,9,3,148,41,61,0,102,46,114,65,11,0,76,38,5,5,0,0,5,0,109,60,11,0,71,38,18,14,3,17,1,0,0,0,0,0,18,14,3,17,1,20,16,3,19,1
KY-501,Louisville-Jefferson County CoC,Major Cities,926,555,218,0,773,153,703,400,155,0,555,148,223,155,63,218,5,69,48,20,68,1,129,108,0,108,21,127,106,0,106,21,2,2,2,0,129,38,77,0,115,14,58,42,7,0,49,9,11,11,0,0,11,0,47,31,7,0,38,9,15,9,6,15,0,0,0,0,0,0,15,9,6,15,0,20,12,8,20,0
KY-502,Lexington-Fayette County CoC,Other Urban CoCs,685,610,52,0,662,23,580,505,52,0,557,23,105,105,0,105,0,35,35,0,35,0,98,91,0,91,7,92,85,0,85,7,6,6,6,0,92,39,52,0,91,1,21,16,0,0,16,5,3,3,0,0,3,0,18,13,0,0,13,5,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,4,4,0,4,0
LA-500,Lafayette/Acadiana CoC,Rural CoCs,363,120,70,0,190,173,284,74,39,0,113,171,79,46,31,77,2,24,15,8,23,1,64,18,0,18,46,61,15,0,15,46,3,3,3,0,26,9,11,0,20,6,14,5,2,0,7,7,0,0,0,0,0,0,14,5,2,0,7,7,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",Other Urban CoCs,375,256,56,19,331,44,271,152,56,19,227,44,104,104,0,104,0,32,32,0,32,0,55,32,3,35,20,53,30,3,33,20,2,2,2,0,100,33,46,19,98,2,18,12,4,0,16,2,3,0,3,0,3,0,15,12,1,0,13,2,6,6,0,6,0,0,0,0,0,0,6,6,0,6,0,9,9,0,9,0
LA-503,New Orleans/Jefferson Parish CoC,Major Cities,"1,188",390,187,17,594,594,"1,057",289,164,17,470,587,131,101,23,124,7,42,33,7,40,2,193,34,11,45,148,193,34,11,45,148,0,0,0,0,109,14,74,6,94,15,98,70,9,0,79,19,2,2,0,0,2,0,96,68,9,0,77,19,12,11,1,12,0,0,0,0,0,0,12,11,1,12,0,15,13,2,15,0
LA-505,Monroe/Northeast Louisiana CoC,Rural CoCs,187,54,125,0,179,8,76,44,29,0,73,3,111,10,96,106,5,34,3,30,33,1,10,7,0,7,3,10,7,0,7,3,0,0,0,0,7,5,1,0,6,1,14,2,12,0,14,0,0,0,0,0,0,0,14,2,12,0,14,0,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,5,0,5,5,0
LA-506,Slidell/Southeast Louisiana CoC,Suburban CoCs,194,34,101,0,135,59,174,19,101,0,120,54,20,15,0,15,5,7,5,0,5,2,25,2,0,2,23,25,2,0,2,23,0,0,0,0,42,1,34,0,35,7,10,1,6,0,7,3,0,0,0,0,0,0,10,1,6,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA-507,Alexandria/Central Louisiana CoC,Rural CoCs,177,70,54,0,124,53,152,63,36,0,99,53,25,7,18,25,0,9,3,6,9,0,28,10,0,10,18,28,10,0,10,18,0,0,0,0,26,21,3,0,24,2,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,1,2,3,0
LA-509,Louisiana Balance of State CoC,Suburban CoCs,575,239,202,0,441,134,526,198,202,0,400,126,49,41,0,41,8,16,14,0,14,2,101,39,0,39,62,97,35,0,35,62,4,4,4,0,96,27,58,0,85,11,58,27,21,0,48,10,23,20,3,0,23,0,35,7,18,0,25,10,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
MA-500,Boston CoC,Major Cities,"6,188","5,427",566,32,"6,025",163,"2,535","1,892",448,32,"2,372",163,"3,653","3,535",118,"3,653",0,"1,121","1,075",46,"1,121",0,724,690,5,695,29,504,470,5,475,29,220,220,220,0,275,93,157,18,268,7,151,106,37,0,143,8,0,0,0,0,0,0,151,106,37,0,143,8,194,190,4,194,0,19,17,2,19,0,175,173,2,175,0,376,372,4,376,0
MA-502,Lynn CoC,Suburban CoCs,"1,061",958,61,0,"1,019",42,128,70,16,0,86,42,933,888,45,933,0,390,372,18,390,0,66,38,0,38,28,66,38,0,38,28,0,0,0,0,5,4,0,0,4,1,12,4,0,0,4,8,0,0,0,0,0,0,12,4,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA-503,Cape Cod Islands CoC,Suburban CoCs,358,277,42,0,319,39,174,95,42,0,137,37,184,182,0,182,2,70,69,0,69,1,56,28,0,28,28,56,28,0,28,28,0,0,0,0,12,4,4,0,8,4,5,5,0,0,5,0,0,0,0,0,0,0,5,5,0,0,5,0,22,22,0,22,0,0,0,0,0,0,22,22,0,22,0,27,27,0,27,0
MA-504,Springfield/Hampden County CoC,Suburban CoCs,"3,368","3,242",75,7,"3,324",44,457,385,21,7,413,44,"2,911","2,857",54,"2,911",0,802,781,21,802,0,206,182,6,188,18,59,35,6,41,18,147,147,147,0,19,12,4,0,16,3,26,24,0,0,24,2,0,0,0,0,0,0,26,24,0,0,24,2,94,90,4,94,0,0,0,0,0,0,94,90,4,94,0,119,115,4,119,0
MA-505,New Bedford CoC,Suburban CoCs,409,262,98,0,360,49,222,86,87,0,173,49,187,176,11,187,0,57,52,5,57,0,29,12,0,12,17,23,6,0,6,17,6,6,6,0,52,5,45,0,50,2,15,6,8,0,14,1,2,1,0,0,1,1,13,5,8,0,13,0,14,11,3,14,0,0,0,0,0,0,14,11,3,14,0,19,17,2,19,0
MA-506,Worcester City & County CoC,Suburban CoCs,"1,852","1,195",474,13,"1,682",170,764,267,314,13,594,170,"1,088",928,160,"1,088",0,321,270,51,321,0,133,59,11,70,63,104,30,11,41,63,29,29,29,0,215,12,194,0,206,9,81,18,42,0,60,21,0,0,0,0,0,0,81,18,42,0,60,21,58,42,16,58,0,0,0,0,0,0,58,42,16,58,0,75,50,25,75,0
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",Suburban CoCs,651,399,198,0,597,54,406,164,188,0,352,54,245,235,10,245,0,66,63,3,66,0,72,67,0,67,5,47,42,0,42,5,25,25,25,0,192,27,161,0,188,4,16,3,8,0,11,5,0,0,0,0,0,0,16,3,8,0,11,5,8,8,0,8,0,1,1,0,1,0,7,7,0,7,0,11,11,0,11,0
MA-508,Lowell CoC,Suburban CoCs,783,689,68,0,757,26,218,158,34,0,192,26,565,531,34,565,0,166,155,11,166,0,75,75,0,75,0,10,10,0,10,0,65,65,65,0,30,3,25,0,28,2,10,7,0,0,7,3,0,0,0,0,0,0,10,7,0,0,7,3,25,23,2,25,0,0,0,0,0,0,25,23,2,25,0,35,28,7,35,0
MA-509,Cambridge CoC,Other Urban CoCs,561,340,142,0,482,79,403,280,44,0,324,79,158,60,98,158,0,60,24,36,60,0,194,159,0,159,35,192,157,0,157,35,2,2,2,0,15,10,0,0,10,5,37,29,0,0,29,8,0,0,0,0,0,0,37,29,0,0,29,8,16,10,6,16,0,0,0,0,0,0,16,10,6,16,0,18,10,8,18,0
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",Suburban CoCs,732,623,60,6,689,43,240,148,43,6,197,43,492,475,17,492,0,161,153,8,161,0,75,69,6,75,0,33,27,6,33,0,42,42,42,0,30,4,26,0,30,0,11,9,2,0,11,0,0,0,0,0,0,0,11,9,2,0,11,0,26,24,2,26,0,0,0,0,0,0,26,24,2,26,0,35,32,3,35,0
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",Suburban CoCs,"1,090","1,055",0,13,"1,068",22,335,300,0,13,313,22,755,755,0,755,0,252,252,0,252,0,180,165,0,165,15,109,94,0,94,15,71,71,71,0,46,33,0,13,46,0,21,20,0,0,20,1,0,0,0,0,0,0,21,20,0,0,20,1,48,48,0,48,0,0,0,0,0,0,48,48,0,48,0,44,44,0,44,0
MA-515,Fall River CoC,Suburban CoCs,377,330,15,0,345,32,102,70,0,0,70,32,275,260,15,275,0,88,83,5,88,0,63,54,0,54,9,49,40,0,40,9,14,14,14,0,3,1,0,0,1,2,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,13,10,3,13,0,0,0,0,0,0,13,10,3,13,0,23,17,6,23,0
MA-516,Massachusetts Balance of State CoC,Suburban CoCs,"2,296","1,834",283,9,"2,126",170,645,396,70,9,475,170,"1,651","1,438",213,"1,651",0,547,471,76,547,0,205,153,5,158,47,77,25,5,30,47,128,128,128,0,65,15,32,9,56,9,65,27,6,0,33,32,1,1,0,0,1,0,64,26,6,0,32,32,84,68,16,84,0,0,0,0,0,0,84,68,16,84,0,98,77,21,98,0
MA-517,Somerville CoC,Suburban CoCs,134,80,44,0,124,10,100,53,37,0,90,10,34,27,7,34,0,14,11,3,14,0,11,11,0,11,0,11,11,0,11,0,0,0,0,0,22,2,20,0,22,0,8,0,8,0,8,0,0,0,0,0,0,0,8,0,8,0,8,0,3,0,3,3,0,0,0,0,0,0,3,0,3,3,0,4,0,4,4,0
MA-519,"Attleboro, Taunton/Bristol County CoC",Suburban CoCs,208,144,22,0,166,42,82,30,10,0,40,42,126,114,12,126,0,34,30,4,34,0,33,8,0,8,25,33,8,0,8,25,0,0,0,0,4,1,0,0,1,3,5,2,0,0,2,3,0,0,0,0,0,0,5,2,0,0,2,3,10,5,5,10,0,0,0,0,0,0,10,5,5,10,0,12,5,7,12,0
MD-500,Cumberland/Allegany County CoC,Suburban CoCs,79,30,25,0,55,24,38,14,3,0,17,21,41,16,22,38,3,15,6,8,14,1,5,0,0,0,5,5,0,0,0,5,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,3,0,3,3,0
MD-501,Baltimore CoC,Major Cities,"2,508","1,125",810,27,"1,962",546,"2,117",856,688,27,"1,571",546,391,269,122,391,0,131,85,46,131,0,592,283,19,302,290,566,257,19,276,290,26,26,26,0,295,57,205,9,271,24,85,36,20,0,56,29,5,3,0,0,3,2,80,33,20,0,53,27,27,9,18,27,0,0,0,0,0,0,27,9,18,27,0,40,13,27,40,0
MD-502,Harford County CoC,Suburban CoCs,190,108,61,0,169,21,100,70,9,0,79,21,90,38,52,90,0,26,11,15,26,0,46,33,0,33,13,30,17,0,17,13,16,16,16,0,7,6,0,0,6,1,9,6,1,0,7,2,0,0,0,0,0,0,9,6,1,0,7,2,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,0
MD-503,Annapolis/Anne Arundel County CoC,Suburban CoCs,366,263,17,0,280,86,266,179,4,0,183,83,100,84,13,97,3,33,28,4,32,1,85,48,0,48,37,75,38,0,38,37,10,10,10,0,24,12,4,0,16,8,10,8,0,0,8,2,0,0,0,0,0,0,10,8,0,0,8,2,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,4,4,0,4,0
MD-504,Howard County CoC,Suburban CoCs,168,101,24,0,125,43,91,46,5,0,51,40,77,55,19,74,3,23,15,7,22,1,37,15,0,15,22,30,11,0,11,19,7,4,4,3,6,1,0,0,1,5,8,3,0,0,3,5,2,1,0,0,1,1,6,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-505,Baltimore County CoC,Suburban CoCs,758,421,51,0,472,286,429,203,0,0,203,226,329,218,51,269,60,100,69,15,84,16,189,59,0,59,130,138,28,0,28,110,51,31,31,20,37,16,0,0,16,21,24,8,0,0,8,16,0,0,0,0,0,0,24,8,0,0,8,16,9,7,1,8,1,0,0,0,0,0,9,7,1,8,1,13,9,1,10,3
MD-506,Carroll County CoC,Suburban CoCs,173,82,47,22,151,22,100,54,2,22,78,22,73,28,45,73,0,18,8,10,18,0,31,25,3,28,3,29,23,3,26,3,2,2,2,0,6,3,0,1,4,2,9,6,0,1,7,2,0,0,0,0,0,0,9,6,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-507,Cecil County CoC,Suburban CoCs,129,4,84,0,88,41,90,2,47,0,49,41,39,2,37,39,0,11,1,10,11,0,22,0,0,0,22,22,0,0,0,22,0,0,0,0,45,0,37,0,37,8,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-508,"Charles, Calvert, St.Mary's Counties CoC",Suburban CoCs,492,161,45,0,206,286,274,103,21,0,124,150,218,58,24,82,136,61,21,8,29,32,87,18,0,18,69,77,18,0,18,59,10,0,0,10,27,8,0,0,8,19,21,9,2,0,11,10,0,0,0,0,0,0,21,9,2,0,11,10,8,2,0,2,6,0,0,0,0,0,8,2,0,2,6,8,2,0,2,6
MD-509,Frederick City & County CoC,Suburban CoCs,316,119,113,0,232,84,207,89,34,0,123,84,109,30,79,109,0,36,10,26,36,0,52,34,0,34,18,39,21,0,21,18,13,13,13,0,9,3,4,0,7,2,19,9,1,0,10,9,0,0,0,0,0,0,19,9,1,0,10,9,4,1,3,4,0,0,0,0,0,0,4,1,3,4,0,3,1,2,3,0
MD-510,Garrett County CoC,Rural CoCs,15,7,8,0,15,0,8,3,5,0,8,0,7,4,3,7,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,Mid-Shore Regional CoC,Rural CoCs,141,83,28,0,111,30,78,51,10,0,61,17,63,32,18,50,13,20,9,7,16,4,19,10,0,10,9,19,10,0,10,9,0,0,0,0,9,7,1,0,8,1,8,7,0,0,7,1,0,0,0,0,0,0,8,7,0,0,7,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0
MD-512,Hagerstown/Washington County CoC,Suburban CoCs,199,113,41,0,154,45,149,72,41,0,113,36,50,41,0,41,9,17,14,0,14,3,45,22,0,22,23,45,22,0,22,23,0,0,0,0,38,3,33,0,36,2,7,2,1,0,3,4,0,0,0,0,0,0,7,2,1,0,3,4,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,2,2,0,2,0
MD-513,"Wicomico, Somerset, Worcester Counties CoC",Rural CoCs,292,228,32,0,260,32,194,157,10,0,167,27,98,71,22,93,5,32,23,8,31,1,56,41,0,41,15,43,33,0,33,10,13,8,8,5,23,20,1,0,21,2,10,10,0,0,10,0,0,0,0,0,0,0,10,10,0,0,10,0,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,6,3,3,6,0
MD-600,Prince George's County CoC,Suburban CoCs,478,227,166,0,393,85,205,90,30,0,120,85,273,137,136,273,0,88,44,44,88,0,19,16,0,16,3,17,14,0,14,3,2,2,2,0,29,21,0,0,21,8,23,10,11,0,21,2,2,2,0,0,2,0,21,8,11,0,19,2,16,3,13,16,0,0,0,0,0,0,16,3,13,16,0,21,5,16,21,0
MD-601,Montgomery County CoC,Suburban CoCs,840,531,148,28,707,133,568,309,98,28,435,133,272,222,50,272,0,85,69,16,85,0,124,73,21,94,30,124,73,21,94,30,0,0,0,0,18,13,1,4,18,0,29,15,8,0,23,6,0,0,0,0,0,0,29,15,8,0,23,6,14,14,0,14,0,0,0,0,0,0,14,14,0,14,0,17,17,0,17,0
ME-500,Maine Statewide CoC,Rural CoCs,"2,516","1,012","1,391",15,"2,418",98,"1,450",644,700,15,"1,359",91,"1,066",368,691,"1,059",7,341,114,225,339,2,215,204,10,214,1,198,187,10,197,1,17,17,17,0,119,50,55,1,106,13,152,60,83,0,143,9,13,7,6,0,13,0,139,53,77,0,130,9,21,6,15,21,0,1,0,1,1,0,20,6,14,20,0,26,9,17,26,0
MI-500,Michigan Balance of State CoC,Rural CoCs,"1,343",860,292,0,"1,152",191,719,465,100,0,565,154,624,395,192,587,37,190,119,59,178,12,53,36,0,36,17,45,30,0,30,15,8,6,6,2,70,32,30,0,62,8,139,72,48,0,120,19,22,12,7,0,19,3,117,60,41,0,101,16,27,17,7,24,3,0,0,0,0,0,27,17,7,24,3,31,25,4,29,2
MI-501,Detroit CoC,Major Cities,"1,769","1,035",536,40,"1,611",158,"1,268",698,376,40,"1,114",154,501,337,160,497,4,167,106,60,166,1,221,154,0,154,67,193,130,0,130,63,28,24,24,4,322,65,200,40,305,17,120,62,47,2,111,9,4,1,2,0,3,1,116,61,45,2,108,8,55,29,26,55,0,0,0,0,0,0,55,29,26,55,0,84,52,32,84,0
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",Suburban CoCs,211,142,48,8,198,13,74,38,15,8,61,13,137,104,33,137,0,38,29,9,38,0,16,12,4,16,0,10,6,4,10,0,6,6,6,0,12,4,8,0,12,0,2,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
